mnist cw | Params={'c': 0.01, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5588, F1=0.5548, Rec=0.5560, Prec=0.5641
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.03} | Acc=0.9313, F1=0.9304, Rec=0.9304, Prec=0.9308
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.04} | Acc=0.8923, F1=0.8908, Rec=0.8911, Prec=0.8918
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.05} | Acc=0.8444, F1=0.8423, Rec=0.8429, Prec=0.8444
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.06} | Acc=0.7910, F1=0.7881, Rec=0.7892, Prec=0.7916
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.07} | Acc=0.7398, F1=0.7361, Rec=0.7376, Prec=0.7406
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.08} | Acc=0.6831, F1=0.6782, Rec=0.6805, Prec=0.6841
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.09} | Acc=0.6181, F1=0.6131, Rec=0.6154, Prec=0.6205
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.1} | Acc=0.5588, F1=0.5548, Rec=0.5560, Prec=0.5641
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.2} | Acc=0.1529, F1=0.1603, Rec=0.1521, Prec=0.1915
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.3} | Acc=0.0527, F1=0.0563, Rec=0.0527, Prec=0.0732
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.4} | Acc=0.0370, F1=0.0404, Rec=0.0370, Prec=0.0568
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.5} | Acc=0.0336, F1=0.0367, Rec=0.0336, Prec=0.0531
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.6} | Acc=0.0298, F1=0.0328, Rec=0.0298, Prec=0.0495
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.7} | Acc=0.0273, F1=0.0300, Rec=0.0273, Prec=0.0465
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.8} | Acc=0.0203, F1=0.0228, Rec=0.0203, Prec=0.0375
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.9} | Acc=0.0082, F1=0.0087, Rec=0.0083, Prec=0.0137
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0001} | Acc=0.9898, F1=0.9897, Rec=0.9898, Prec=0.9898
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0002} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0003} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0004} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0005} | Acc=0.9894, F1=0.9893, Rec=0.9894, Prec=0.9893
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0006} | Acc=0.9891, F1=0.9890, Rec=0.9891, Prec=0.9890
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0007} | Acc=0.9891, F1=0.9890, Rec=0.9891, Prec=0.9890
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0008} | Acc=0.9889, F1=0.9888, Rec=0.9889, Prec=0.9888
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.0009} | Acc=0.9889, F1=0.9888, Rec=0.9889, Prec=0.9888
